locality,bhk,property_type,builtup_sqft,monthly_rent,sale_price,price_per_sqft,furnishing,age_years,parking
juhu,2,apartment,920,98000,29500000,32065,semi_furnished,8,1
juhu,2,apartment,980,108000,32500000,33163,furnished,6,1
juhu,2,apartment,890,92000,27800000,31236,unfurnished,12,1
juhu,2,apartment,1040,115000,34000000,32692,furnished,5,2
juhu,2,apartment,960,102000,31000000,32292,semi_furnished,7,1
juhu,2,apartment,930,99000,30100000,32366,semi_furnished,9,1
juhu,3,apartment,1380,168000,46800000,33913,semi_furnished,7,2
juhu,3,apartment,1450,182000,50500000,34827,furnished,5,2
juhu,3,apartment,1320,159000,44200000,33485,unfurnished,10,1
juhu,3,apartment,1500,190000,52800000,35200,furnished,4,2
juhu,3,apartment,1410,175000,49200000,34894,semi_furnished,6,2
juhu,3,apartment,1360,164000,45900000,33750,semi_furnished,8,1
juhu,4,apartment,1860,255000,68500000,36828,furnished,5,2
juhu,4,apartment,1950,272000,73200000,37538,furnished,4,2
juhu,4,apartment,1780,238000,65400000,36741,semi_furnished,7,2
juhu,4,apartment,2020,289000,76000000,37624,furnished,3,3
juhu,4,apartment,1900,264000,71200000,37474,semi_furnished,6,2
juhu,4,apartment,1840,248000,67800000,36848,semi_furnished,8,2
bandra,2,apartment,860,76000,23800000,27674,semi_furnished,9,1
bandra,2,apartment,910,82000,25200000,27692,furnished,7,1
bandra,2,apartment,840,73000,22600000,26905,unfurnished,12,1
bandra,2,apartment,950,88000,26800000,28210,furnished,6,1
bandra,2,apartment,900,80500,24800000,27556,semi_furnished,8,1
bandra,2,apartment,870,77500,24100000,27701,semi_furnished,10,1
bandra,3,apartment,1250,128000,36500000,29200,semi_furnished,8,1
bandra,3,apartment,1320,138000,39200000,29697,furnished,6,2
bandra,3,apartment,1180,121000,34400000,29153,unfurnished,11,1
bandra,3,apartment,1360,145000,40500000,29779,furnished,5,2
bandra,3,apartment,1290,133000,38100000,29535,semi_furnished,7,2
bandra,3,apartment,1230,126000,35600000,28943,semi_furnished,9,1
bandra,4,apartment,1680,198000,52500000,31250,furnished,6,2
bandra,4,apartment,1750,212000,54800000,31314,furnished,5,2
bandra,4,apartment,1620,186000,49700000,30679,semi_furnished,9,2
bandra,4,apartment,1810,224000,57100000,31547,furnished,4,3
bandra,4,apartment,1700,205000,53600000,31529,semi_furnished,7,2
bandra,4,apartment,1650,192000,51000000,30909,semi_furnished,8,2
mahim,2,apartment,760,52000,16200000,21316,semi_furnished,11,0
mahim,2,apartment,800,56000,17100000,21375,furnished,9,1
mahim,2,apartment,730,49000,15400000,21096,unfurnished,14,0
mahim,2,apartment,840,60000,18200000,21667,furnished,8,1
mahim,2,apartment,790,54500,16800000,21266,semi_furnished,10,1
mahim,2,apartment,770,53000,16500000,21429,semi_furnished,12,0
mahim,3,apartment,1090,86000,24100000,22110,semi_furnished,9,1
mahim,3,apartment,1150,93000,25700000,22348,furnished,7,1
mahim,3,apartment,1020,79000,22900000,22451,unfurnished,12,1
mahim,3,apartment,1210,98000,26800000,22149,furnished,6,2
mahim,3,apartment,1120,89500,24900000,22232,semi_furnished,8,1
mahim,3,apartment,1070,84000,23700000,22150,semi_furnished,10,1
mahim,4,apartment,1480,126000,34200000,23108,furnished,7,2
mahim,4,apartment,1550,135000,35800000,23097,furnished,6,2
mahim,4,apartment,1420,118000,32700000,23028,semi_furnished,9,1
mahim,4,apartment,1600,142000,37200000,23250,furnished,5,2
mahim,4,apartment,1510,130000,34900000,23113,semi_furnished,7,2
mahim,4,apartment,1450,122000,33600000,23172,semi_furnished,8,1
