tenant_id,age,city_tier,employer_type,income_monthly,rent_amount,deposit_multiple,lease_term_months,tenure_months_on_platform,avg_days_late,late_payment_rate,failed_txn_rate,payment_method,rent_to_income,default_flag,dpd_next_month
1,24,Tier1,SME,23482,7068,1,21,6,1,0.19858246915784142,0.026209270554281704,UPI,0.30099650796354654,0,5
2,47,Tier2,Startup,47415,19739,3,14,8,0,0.4889099952249631,0.059963123579332124,Card,0.4163028577454392,0,3
3,43,Tier3,MNC,40212,7995,2,15,12,1,0.1875929642049052,0.30586371962545567,Wallet,0.19882124738883916,0,2
4,35,Tier2,SME,62360,12774,3,21,17,3,0.21383562943586953,0.005420397215352388,NetBanking,0.20484284797947402,0,2
5,35,Tier1,SME,44246,13437,2,8,9,2,0.1042015441184948,0.0752292275254258,UPI,0.3036884690141482,0,2
6,50,Tier1,Startup,50408,12589,1,20,15,1,0.11269986571680646,0.10467467020417845,NetBanking,0.2497421044278686,0,3
7,23,Tier3,Gig,50955,14254,1,15,2,4,0.3932206758435124,0.06907901843768668,Card,0.27973702286331076,0,4
8,44,Tier3,Gig,59036,22992,1,18,16,2,0.16847957993017176,0.06640399388606084,UPI,0.3894572803035436,0,2
9,27,Tier2,Startup,49429,8206,2,9,3,4,0.08548887628650084,0.026047092062066853,UPI,0.16601590159622892,0,1
10,24,Tier2,SME,38764,14197,1,17,13,2,0.04178366908548871,0.17642977524055145,UPI,0.3662418739036219,0,1
11,38,Tier1,Startup,61715,10890,2,10,9,0,0.10472728318335031,0.060410730846132424,Card,0.17645629101515029,0,1
12,54,Tier1,SME,81349,32885,2,15,10,1,0.2514665604453309,0.004931152961843141,NetBanking,0.4042459034530234,0,4
13,46,Tier1,MNC,62569,13175,2,15,1,2,0.1813004615492261,0.08332104217902216,UPI,0.21056753344307885,0,2
14,46,Tier1,Startup,47803,17710,2,23,9,0,0.12977888693862596,0.16420306469670154,UPI,0.3704788402401523,0,1
15,45,Tier1,Startup,57537,18847,0,18,1,1,0.1953682153030881,0.030556156917764834,Card,0.327563133288145,0,0
16,47,Tier2,SME,18987,5044,1,16,9,3,0.20653074280084824,0.018639682802552748,UPI,0.26565544846473904,0,3
17,38,Tier1,Gig,57211,13173,2,13,7,1,0.2657228409487863,0.05701337256116669,Card,0.23025292338885878,0,6
18,25,Tier1,Startup,51992,8695,2,12,3,3,0.3096243232796589,0.05579913063925814,UPI,0.16723726727188798,0,6
19,49,Tier2,SME,41330,10581,2,17,8,1,0.224523397966162,0.05835557320418619,UPI,0.2560125816598113,0,2
20,36,Tier1,MNC,44958,9448,2,21,3,5,0.08377090684884297,0.040558160465822016,UPI,0.21015169713955248,1,31
21,38,Tier1,MNC,51795,9881,2,16,1,1,0.17952058611312635,0.10548493614389197,UPI,0.19077130997200503,0,3
22,33,Tier2,SME,79849,29667,1,17,0,3,0.12580294857415344,0.13521026550795406,UPI,0.3715387794462047,0,4
23,27,Tier1,SME,81841,17493,0,11,6,1,0.07137635346221609,0.16166576535800184,UPI,0.2137437225840349,0,2
24,52,Tier2,MNC,41437,8989,2,16,13,2,0.06460962471607888,0.03528371096839507,UPI,0.21693172768298863,0,0
25,47,Tier3,MNC,49638,12515,2,16,10,1,0.12845338991255573,0.110877198150353,NetBanking,0.252125387807728,0,2
26,42,Tier1,MNC,50148,14482,2,18,2,1,0.14717152862000812,0.030729804396658626,UPI,0.2887851958203717,0,3
27,34,Tier3,Startup,76190,23170,1,11,7,5,0.353920479091076,0.07811943219530151,UPI,0.3041081506759417,0,1
28,48,Tier3,Startup,62910,21978,2,12,10,1,0.3231255445736914,0.0565539124707551,Card,0.34935622317596565,0,1
29,39,Tier2,SME,61855,20199,1,12,4,2,0.3098727537289561,0.03509336732643405,Card,0.3265540376687414,0,0
30,36,Tier2,MNC,70725,20828,1,13,2,1,0.49487737725213293,0.0011005714098381934,NetBanking,0.2944927536231884,0,1
31,36,Tier2,MNC,48071,12891,1,11,4,1,0.11676075831020133,0.04638374466286683,Wallet,0.26816583803124544,0,2
32,28,Tier2,MNC,87277,20050,2,9,1,4,0.21674035358018173,0.042151141164128055,Card,0.22972833621687272,0,1
33,24,Tier2,SME,59965,21766,1,15,4,3,0.4844698882553113,0.17998788675369554,UPI,0.36297840406904025,1,31
34,39,Tier1,MNC,42881,10516,1,21,9,2,0.0675300295143826,0.030763266771411807,Card,0.24523681817121804,0,3
35,51,Tier3,SME,55407,22432,1,6,14,3,0.0718356156734131,0.17656953579255966,UPI,0.4048585918746729,0,0
36,23,Tier2,Gig,84638,27579,1,17,15,2,0.17609128272038202,0.12055141617806674,Card,0.3258465464684893,0,2
37,50,Tier2,SME,51497,17518,2,20,12,4,0.16916134672391142,0.1113229236409458,UPI,0.34017515583432045,0,0
38,49,Tier1,Gig,78991,23905,2,20,6,1,0.08529032549760912,0.044662286235684946,Card,0.3026294134774848,1,61
39,30,Tier1,MNC,47493,20353,2,21,16,4,0.33792214513820784,0.08655949041039872,UPI,0.42854736487482364,0,3
40,42,Tier2,MNC,44686,12354,1,11,16,1,0.2475955079380307,0.052014573650028297,UPI,0.27646242671082666,0,0
41,26,Tier2,Gig,73191,20353,1,7,6,1,0.3093171960365886,0.19688673857403227,Card,0.2780806383298493,0,2
42,46,Tier1,SME,42520,17769,1,23,0,2,0.13634354797798917,0.07349947885369863,NetBanking,0.41789746001881467,0,3
43,44,Tier1,Startup,76450,25341,2,18,7,3,0.06137933512129094,0.016387064561319997,UPI,0.3314715500327011,0,3
44,33,Tier1,Gig,67032,19087,2,12,8,0,0.11233539421314157,0.0967978940437313,Card,0.28474459959422366,0,4
45,23,Tier2,SME,42528,9723,1,21,12,4,0.2838913866461226,0.02351683344663611,Card,0.22862584650112866,0,2
46,54,Tier1,SME,58571,13091,3,12,2,4,0.07768068932268807,0.1997569026626623,UPI,0.22350651346229364,1,41
47,36,Tier3,SME,49024,19140,1,19,9,4,0.15844964191935867,0.10259254159562577,Card,0.3904210182767624,0,0
48,51,Tier1,MNC,66979,15662,2,23,5,3,0.29456785647754524,0.020375234410336864,Wallet,0.2338344854357336,0,3
49,44,Tier1,MNC,97755,14831,2,19,8,0,0.412467016647595,0.015355311893044421,UPI,0.15171602475576698,0,0
50,47,Tier1,MNC,52585,8194,2,17,0,2,0.1325420119189886,0.06254581855059962,Card,0.15582390415517733,0,1
51,46,Tier2,Gig,70675,31345,2,9,9,0,0.27180504779968384,0.02894061817276726,UPI,0.44350902016271665,0,2
52,27,Tier1,Startup,60488,19232,0,22,0,4,0.34952733878022785,0.16500826407723798,UPI,0.3179473614601243,0,5
