tenant_id,age,city_tier,employer_type,income_monthly,rent_amount,deposit_multiple,lease_term_months,tenure_months_on_platform,avg_days_late,late_payment_rate,failed_txn_rate,payment_method,rent_to_income,default_flag,dpd_next_month
1,21,Tier2,MNC,83967,19695,1,7,5,1,0.18566860160511245,0.13520398306303127,Card,0.2345564328843474,0,5
2,44,Tier2,Startup,85904,12995,2,15,13,5,0.167579303468352,0.19258694842750096,UPI,0.15127351462097224,0,1
3,41,Tier2,Startup,68478,24198,3,6,2,3,0.3539756547878687,0.02875342682098949,Card,0.3533689652151056,0,2
4,22,Tier1,Startup,49144,16322,2,6,10,0,0.17487957342392782,0.08223673087653752,Card,0.3321259970698356,0,2
5,51,Tier2,MNC,60288,22185,0,6,15,0,0.3603566448600688,0.13924293200062235,UPI,0.36798367834394907,0,1
6,28,Tier3,Startup,80345,13539,3,6,7,3,0.30712286419816603,0.005005202890017048,Card,0.1685107971871305,0,0
7,29,Tier2,Startup,76352,31653,2,15,4,2,0.7160385110238654,0.005924807852676324,NetBanking,0.414566743503772,0,4
8,27,Tier1,MNC,115801,47837,2,13,16,2,0.09321308083837856,0.06777782843856806,UPI,0.4130966053833732,0,0
9,32,Tier3,MNC,62846,11445,2,14,13,3,0.25015647459772056,0.12742393213429726,Card,0.18211182891512587,0,2
10,26,Tier2,Gig,75401,29079,1,6,6,1,0.046856949034142815,0.053939742323222836,UPI,0.3856580151456877,0,2
11,32,Tier2,MNC,32884,11983,1,22,9,3,0.3568543550507996,0.13457025998261132,Card,0.3644021408587763,0,1
12,48,Tier2,SME,28636,10801,2,20,16,2,0.3258231197674811,0.014897623745232109,Card,0.37718256739768125,0,1
13,36,Tier1,SME,70375,10652,2,14,14,2,0.025756447363246684,0.1304109736545849,UPI,0.15136056838365897,0,1
14,52,Tier1,MNC,54748,16364,2,9,4,1,0.26715736020842074,0.03409624695940521,UPI,0.2988967633520859,0,2
